,Clouds,Humidity,Latitude,Temperature,Wind_Speed
172,1,72,46.42,36.09,6.93
173,12,45,-10.55,62.59,10.98
174,92,66,30.78,44.55,2.04
175,90,56,32.72,30.9,16.11
176,92,99,8.0,75.15,2.26
177,0,83,-34.72,65.47,11.32
178,20,79,30.29,41.0,4.7
179,0,76,36.28,57.69,5.61
180,20,78,16.02,71.6,7.96
181,92,100,67.67,47.65,10.09
182,0,21,-43.03,80.6,20.8
183,20,69,21.05,82.4,8.05
184,44,100,6.12,81.67,14.67
185,0,35,-20.74,91.57,8.08
186,20,70,10.74,84.09,4.7
187,0,76,18.39,56.34,2.26
188,40,28,23.99,59.0,5.82
189,92,100,42.97,46.39,9.08
190,20,96,22.57,79.15,7.96
191,24,86,-26.65,56.47,8.75
192,36,100,2.67,80.19,12.44
193,92,100,70.86,37.35,10.98
194,92,87,-6.32,79.42,4.72
195,76,97,-18.42,65.07,8.75
196,32,100,-28.98,71.23,11.21
197,92,86,62.23,41.0,1.12
198,76,98,10.93,79.65,5.28
199,44,69,18.42,77.8,3.83
200,90,73,50.2,24.8,8.05
201,92,29,-35.34,86.35,15.79
202,0,93,24.09,51.07,4.94
203,36,74,15.79,82.66,1.81
204,76,80,56.21,10.3,14.9
205,40,83,16.38,75.2,4.7
206,80,100,3.52,70.15,2.59
207,0,47,27.97,66.19,18.7
208,0,36,-27.46,61.65,7.18
209,56,75,64.92,-2.93,7.96
210,36,100,63.44,37.3,3.6
211,44,37,71.97,-24.62,5.61
212,80,70,62.2,48.2,5.82
213,12,57,66.77,-5.54,3.94
214,75,72,35.73,59.86,16.11
215,76,100,-0.6,82.62,16.02
216,0,84,-19.53,66.82,2.71
217,32,100,-15.19,73.84,6.29
218,90,74,42.57,37.44,5.82
219,0,78,22.34,79.29,5.61
220,88,78,65.85,32.04,9.75
221,12,56,45.76,30.46,5.95
222,0,74,37.17,19.03,10.98
223,0,23,-18.06,71.19,9.75
224,0,96,29.96,63.27,16.35
225,0,92,-24.87,76.36,19.48
226,0,68,49.98,-9.23,2.48
227,24,32,-29.12,69.8,3.36
228,92,92,30.68,61.6,6.73
229,75,93,69.65,39.2,10.29
230,90,60,40.91,44.13,5.82
231,40,71,55.74,6.8,4.7
232,68,82,32.93,29.7,2.04
233,0,73,56.07,18.39,11.18
234,90,79,41.7,41.85,4.7
235,24,64,11.0,86.53,13.78
236,88,94,27.82,36.22,1.59
237,20,55,2.82,86.0,12.75
238,90,65,49.72,8.6,3.36
239,0,56,53.6,12.2,15.66
240,0,98,-20.3,72.67,4.94
241,48,64,-41.18,68.85,10.76
242,90,85,63.59,21.2,3.36
243,75,69,-19.06,80.6,12.75
244,12,62,-35.11,59.0,4.7
245,32,95,1.71,62.68,1.14
246,0,82,-29.95,59.0,6.93
